Record Date,Country - Currency Description,Exchange Rate,Effective Date
2025-12-31,United Kingdom-Pound,0.743,2025-12-31
2025-09-30,United Kingdom-Pound,0.744,2025-09-30
2025-06-30,United Kingdom-Pound,0.73,2025-06-30
2025-03-31,United Kingdom-Pound,0.772,2025-03-31
2024-12-31,United Kingdom-Pound,0.797,2024-12-31
2024-09-30,United Kingdom-Pound,0.745,2024-09-30
2024-06-30,United Kingdom-Pound,0.791,2024-06-30
2024-03-31,United Kingdom-Pound,0.793,2024-03-31
2023-12-31,United Kingdom-Pound,0.786,2023-12-31
2023-09-30,United Kingdom-Pound,0.816,2023-09-30
2023-06-30,United Kingdom-Pound,0.79,2023-06-30
2023-03-31,United Kingdom-Pound,0.808,2023-03-31
2022-12-31,United Kingdom-Pound,0.83,2022-12-31
2022-09-30,United Kingdom-Pound,0.906,2022-09-30
2022-09-30,United Kingdom-Pound,0.812,2022-12-15
2022-06-30,United Kingdom-Pound,0.826,2022-06-30
2022-03-31,United Kingdom-Pound,0.762,2022-03-31
2021-12-31,United Kingdom-Pound,0.74,2021-12-31
2021-09-30,United Kingdom-Pound,0.744,2021-09-30
2021-06-30,United Kingdom-Pound,0.722,2021-06-30
2021-03-31,United Kingdom-Pound,0.726,2021-03-31
2020-12-31,United Kingdom-Pound,0.732,2020-12-31
2020-09-30,United Kingdom-Pound,0.78,2020-09-30
2020-06-30,United Kingdom-Pound,0.815,2020-06-30
2020-03-31,United Kingdom-Pound,0.81,2020-03-31
2019-12-31,United Kingdom-Pound,0.758,2019-12-31
2014-12-31,United Kingdom-Pound,0.642,2014-12-31
2014-09-30,United Kingdom-Pound,0.62,2014-09-30
2014-06-30,United Kingdom-Pound,0.588,2014-06-30
2014-03-31,United Kingdom-Pound,0.6,2014-03-31
2013-12-31,United Kingdom-Pound,0.605,2013-12-31
2013-09-30,United Kingdom-Pound,0.62,2013-09-30
2013-06-30,United Kingdom-Pound,0.66,2013-06-30
2013-03-31,United Kingdom-Pound,0.66,2013-03-31
2012-12-31,United Kingdom-Pound,0.618,2012-12-31
2012-09-30,United Kingdom-Pound,0.617,2012-09-30
2012-06-30,United Kingdom-Pound,0.65,2012-06-30
2012-03-31,United Kingdom-Pound,0.625,2012-03-31
2011-12-31,United Kingdom-Pound,0.637,2011-12-31
2011-09-30,United Kingdom-Pound,0.641,2011-09-30
2011-06-30,United Kingdom-Pound,0.62,2011-06-30
2011-03-31,United Kingdom-Pound,0.62,2011-03-31
2010-12-31,United Kingdom-Pound,0.64,2010-12-31
2010-09-30,United Kingdom-Pound,0.65,2010-09-30
2010-06-30,United Kingdom-Pound,0.665,2010-06-30
2010-03-31,United Kingdom-Pound,0.661,2010-03-31
2009-12-31,United Kingdom-Pound,0.616,2009-12-31
2009-09-30,United Kingdom-Pound,0.613,2009-09-30
2009-06-30,United Kingdom-Pound,0.605,2009-06-30
2009-03-31,United Kingdom-Pound,0.61,2009-03-31
2008-12-31,United Kingdom-Pound,0.657,2008-12-31
2008-09-30,United Kingdom-Pound,0.654,2008-09-30
2008-06-30,United Kingdom-Pound,0.565,2008-06-30
2008-03-31,United Kingdom-Pound,0.505,2008-03-31
2007-12-31,United Kingdom-Pound,0.486,2007-12-31
2007-09-30,United Kingdom-Pound,0.496,2007-09-30
2007-06-30,United Kingdom-Pound,0.505,2007-06-30
2007-03-31,United Kingdom-Pound,0.505,2007-03-31
2006-12-31,United Kingdom-Pound,0.512,2006-12-31
2006-09-30,United Kingdom-Pound,0.527,2006-09-30
2006-06-30,United Kingdom-Pound,0.534,2006-06-30
2006-03-31,United Kingdom-Pound,0.572,2006-03-31
2005-12-31,United Kingdom-Pound,0.582,2005-12-31
2005-09-30,United Kingdom-Pound,0.557,2005-09-30
2005-06-30,United Kingdom-Pound,0.548,2005-06-30
2005-03-31,United Kingdom-Pound,0.519,2005-03-31
2004-12-31,United Kingdom-Pound,0.524,2004-12-31
2004-09-30,United Kingdom-Pound,0.554,2004-09-30
2004-06-30,United Kingdom-Pound,0.546,2004-06-30
2004-03-31,United Kingdom-Pound,0.545,2004-03-31
2003-12-31,United Kingdom-Pound,0.566,2003-12-31
2003-09-30,United Kingdom-Pound,0.6,2003-09-30
2003-06-30,United Kingdom-Pound,0.608,2003-06-30
2003-03-31,United Kingdom-Pound,0.634,2003-03-31
2002-12-31,United Kingdom-Pound,0.621,2002-12-31
2002-09-30,United Kingdom-Pound,0.646,2002-09-30
2002-06-30,United Kingdom-Pound,0.684,2002-06-30
2002-03-31,United Kingdom-Pound,0.707,2002-03-31
2001-12-31,United Kingdom-Pound,0.688,2001-12-31
2001-09-30,United Kingdom-Pound,0.689,2001-09-30
2001-06-30,United Kingdom-Pound,0.705,2001-06-30
2001-03-31,United Kingdom-Pound,0.692,2001-03-31
