Record Date,Country - Currency Description,Exchange Rate,Effective Date
2025-12-31,Australia-Dollar,1.495,2025-12-31
2025-09-30,Australia-Dollar,1.513,2025-09-30
2025-06-30,Australia-Dollar,1.531,2025-06-30
2025-03-31,Australia-Dollar,1.6,2025-03-31
2024-12-31,Australia-Dollar,1.612,2024-12-31
2024-09-30,Australia-Dollar,1.445,2024-09-30
2024-06-30,Australia-Dollar,1.503,2024-06-30
2024-03-31,Australia-Dollar,1.535,2024-03-31
2023-12-31,Australia-Dollar,1.472,2023-12-31
2023-09-30,Australia-Dollar,1.542,2023-09-30
2023-06-30,Australia-Dollar,1.509,2023-06-30
2023-03-31,Australia-Dollar,1.494,2023-03-31
2022-12-31,Australia-Dollar,1.471,2022-12-31
2022-09-30,Australia-Dollar,1.547,2022-09-30
2022-06-30,Australia-Dollar,1.453,2022-06-30
2022-03-31,Australia-Dollar,1.336,2022-03-31
2021-12-31,Australia-Dollar,1.375,2021-12-31
2021-09-30,Australia-Dollar,1.391,2021-09-30
2021-06-30,Australia-Dollar,1.334,2021-06-30
2021-03-31,Australia-Dollar,1.313,2021-03-31
2020-12-31,Australia-Dollar,1.294,2020-12-31
2020-09-30,Australia-Dollar,1.405,2020-09-30
2020-06-30,Australia-Dollar,1.459,2020-06-30
2020-03-31,Australia-Dollar,1.464,2020-03-31
2019-12-31,Australia-Dollar,1.425,2019-12-31
2019-09-30,Australia-Dollar,1.481,2019-09-30
2019-06-30,Australia-Dollar,1.427,2019-06-30
2019-03-31,Australia-Dollar,1.409,2019-03-31
2018-12-31,Australia-Dollar,1.416,2018-12-31
2018-09-30,Australia-Dollar,1.386,2018-09-30
2018-06-30,Australia-Dollar,1.354,2018-06-30
2018-03-31,Australia-Dollar,1.299,2018-03-31
2017-12-31,Australia-Dollar,1.279,2017-12-31
2017-09-30,Australia-Dollar,1.276,2017-09-30
2017-06-30,Australia-Dollar,1.301,2017-06-30
2017-03-31,Australia-Dollar,1.308,2017-03-31
2016-12-31,Australia-Dollar,1.385,2016-12-31
2016-09-30,Australia-Dollar,1.313,2016-09-30
2016-06-30,Australia-Dollar,1.344,2016-06-30
2016-03-31,Australia-Dollar,1.298,2016-03-31
2015-12-31,Australia-Dollar,1.368,2015-12-31
2015-09-30,Australia-Dollar,1.423,2015-09-30
2015-06-30,Australia-Dollar,1.302,2015-06-30
2015-03-31,Australia-Dollar,1.315,2015-03-31
2014-12-31,Australia-Dollar,1.219,2014-12-31
2014-09-30,Australia-Dollar,1.15,2014-09-30
2014-06-30,Australia-Dollar,1.064,2014-06-30
2014-03-31,Australia-Dollar,1.12,2014-03-31
2013-12-31,Australia-Dollar,1.12,2013-12-31
2013-09-30,Australia-Dollar,1.07,2013-09-30
2013-06-30,Australia-Dollar,1.08,2013-06-30
2013-03-31,Australia-Dollar,0.96,2013-03-31
2012-12-31,Australia-Dollar,0.964,2012-12-31
2012-09-30,Australia-Dollar,0.957,2012-09-30
2012-06-30,Australia-Dollar,1.03,2012-06-30
2012-03-31,Australia-Dollar,0.96,2012-03-31
2011-12-31,Australia-Dollar,0.984,2011-12-31
2011-09-30,Australia-Dollar,1.029,2011-09-30
2011-06-30,Australia-Dollar,0.93,2011-06-30
2011-03-31,Australia-Dollar,0.98,2011-03-31
2010-12-31,Australia-Dollar,1.04,2010-12-31
2010-09-30,Australia-Dollar,1.008,2010-09-30
2010-06-30,Australia-Dollar,1.169,2010-06-30
2010-03-31,Australia-Dollar,1.091,2010-03-31
2009-12-31,Australia-Dollar,1.111,2009-12-31
2009-09-30,Australia-Dollar,1.184,2009-09-30
2009-06-30,Australia-Dollar,1.232,2009-06-30
2009-03-31,Australia-Dollar,1.236,2009-03-31
2008-12-31,Australia-Dollar,1.561,2008-12-31
2008-09-30,Australia-Dollar,1.499,2008-09-30
2008-06-30,Australia-Dollar,1.233,2008-06-30
2008-03-31,Australia-Dollar,1.067,2008-03-31
2007-12-31,Australia-Dollar,1.129,2007-12-31
2007-09-30,Australia-Dollar,1.081,2007-09-30
2007-06-30,Australia-Dollar,1.208,2007-06-30
2007-03-31,Australia-Dollar,1.208,2007-03-31
2006-12-31,Australia-Dollar,1.263,2006-12-31
2006-09-30,Australia-Dollar,1.318,2006-09-30
2006-06-30,Australia-Dollar,1.324,2006-06-30
2006-03-31,Australia-Dollar,1.349,2006-03-31
2005-12-31,Australia-Dollar,1.363,2005-12-31
2005-09-30,Australia-Dollar,1.331,2005-09-30
2005-06-30,Australia-Dollar,1.321,2005-06-30
2005-03-31,Australia-Dollar,1.259,2005-03-31
2004-12-31,Australia-Dollar,1.296,2004-12-31
2004-09-30,Australia-Dollar,1.414,2004-09-30
2004-06-30,Australia-Dollar,1.399,2004-06-30
2004-03-31,Australia-Dollar,1.312,2004-03-31
2003-12-31,Australia-Dollar,1.36,2003-12-31
2003-09-30,Australia-Dollar,1.469,2003-09-30
2003-06-30,Australia-Dollar,1.532,2003-06-30
2003-03-31,Australia-Dollar,1.646,2003-03-31
2002-12-31,Australia-Dollar,1.775,2002-12-31
2002-09-30,Australia-Dollar,1.816,2002-09-30
2002-06-30,Australia-Dollar,1.766,2002-06-30
2002-03-31,Australia-Dollar,1.935,2002-03-31
2001-12-31,Australia-Dollar,1.955,2001-12-31
2001-09-30,Australia-Dollar,1.894,2001-09-30
2001-06-30,Australia-Dollar,1.979,2001-06-30
2001-03-31,Australia-Dollar,1.903,2001-03-31
