Record Date,Country - Currency Description,Exchange Rate,Effective Date
2025-03-31,Cross Border-Euro,0.92,2025-03-31
2024-12-31,Cross Border-Euro,0.92,2024-12-31
2021-12-31,Cross Border-Euro,0.882,2021-12-31
2021-09-30,Cross Border-Euro,0.864,2021-09-30
2020-09-30,Cross Border-Euro,0.854,2020-09-30
2020-06-30,Cross Border-Euro,0.893,2020-06-30
2020-03-31,Cross Border-Euro,0.914,2020-03-31
2019-12-31,Cross Border-Euro,0.89,2019-12-31
2019-09-30,Cross Border-Euro,0.917,2019-09-30
2014-12-31,Cross Border-Euro,0.822,2014-12-31
2014-09-30,Cross Border-Euro,0.79,2014-09-30
2014-06-30,Cross Border-Euro,0.732,2014-06-30
2014-03-31,Cross Border-Euro,0.73,2014-03-31
2013-12-31,Cross Border-Euro,0.726,2013-12-31
2013-09-30,Cross Border-Euro,0.74,2013-09-30
2013-06-30,Cross Border-Euro,0.77,2013-06-30
2013-03-31,Cross Border-Euro,0.78,2013-03-31
2012-12-31,Cross Border-Euro,0.759,2012-12-31
2012-09-30,Cross Border-Euro,0.773,2012-09-30
2012-06-30,Cross Border-Euro,0.81,2012-06-30
2012-03-31,Cross Border-Euro,0.749,2012-03-31
2011-12-31,Cross Border-Euro,0.765,2011-12-31
2011-09-30,Cross Border-Euro,0.74,2011-09-30
2011-06-30,Cross Border-Euro,0.69,2011-06-30
2011-03-31,Cross Border-Euro,0.72,2011-03-31
2010-12-31,Cross Border-Euro,0.77,2010-12-31
2010-09-30,Cross Border-Euro,0.789,2010-09-30
2010-06-30,Cross Border-Euro,0.814,2010-06-30
2010-03-31,Cross Border-Euro,0.74,2010-03-31
2009-12-31,Cross Border-Euro,0.695,2009-12-31
2009-09-30,Cross Border-Euro,0.697,2009-09-30
2009-06-30,Cross Border-Euro,0.71,2009-06-30
2009-03-31,Cross Border-Euro,0.789,2009-03-31
2008-12-31,Cross Border-Euro,0.731,2008-12-31
2008-09-30,Cross Border-Euro,0.681,2008-09-30
2008-06-30,Cross Border-Euro,0.644,2008-06-30
2008-03-31,Cross Border-Euro,0.659,2008-03-31
2007-12-31,Cross Border-Euro,0.68,2007-12-31
2007-09-30,Cross Border-Euro,0.733,2007-09-30
2007-06-30,Cross Border-Euro,0.743,2007-06-30
2007-03-31,Cross Border-Euro,0.743,2007-03-31
2006-12-31,Cross Border-Euro,0.759,2006-12-31
2006-09-30,Cross Border-Euro,0.782,2006-09-30
2006-06-30,Cross Border-Euro,0.778,2006-06-30
2006-03-31,Cross Border-Euro,0.815,2006-03-31
2005-12-31,Cross Border-Euro,0.815,2005-12-31
2005-09-30,Cross Border-Euro,0.815,2005-09-30
